	T [K]	r	c [mol/kg]	k [mS/cm]
755	293.15	0.885	0.617	6.31
756	303.15	0.885	0.617	7.188
757	313.15	0.885	0.617	8.281
758	323.15	0.885	0.617	9.429
759	333.15	0.885	0.617	9.196
760	243.15	0.885	0.617	1.962
761	253.15	0.885	0.617	2.734
762	263.15	0.885	0.617	3.599
763	273.15	0.885	0.617	4.485
764	283.15	0.885	0.617	5.463
765	293.15	0.885	0.617	6.491
766	303.15	0.885	0.617	7.503
767	313.15	0.885	0.617	8.567
768	323.15	0.885	0.617	9.436
769	333.15	0.885	0.617	10.358
770	243.15	0.885	0.617	1.943
771	253.15	0.885	0.617	2.701
772	263.15	0.885	0.617	3.549
773	273.15	0.885	0.617	4.419
774	283.15	0.885	0.617	5.36
775	293.15	0.885	0.617	6.362
776	303.15	0.885	0.617	7.268
777	313.15	0.885	0.617	8.201
778	323.15	0.885	0.617	9.34
779	333.15	0.885	0.617	10.89
780	243.15	0.885	0.617	1.968
781	253.15	0.885	0.617	2.752
782	263.15	0.885	0.617	3.633
783	273.15	0.885	0.617	4.522
784	283.15	0.885	0.617	5.484
785	293.15	0.885	0.617	6.554
786	303.15	0.885	0.617	7.583
787	313.15	0.885	0.617	8.707
788	323.15	0.885	0.617	9.903
789	333.15	0.885	0.617	11.146
790	243.15	0.09	1.548	0.931
791	253.15	0.09	1.548	1.655
792	263.15	0.09	1.548	2.63
793	273.15	0.09	1.548	3.758
794	283.15	0.09	1.548	5.086
795	293.15	0.09	1.548	6.589
796	303.15	0.09	1.548	8.164
797	313.15	0.09	1.548	9.902
798	323.15	0.09	1.548	11.73
799	333.15	0.09	1.548	13.35
800	243.15	0.09	1.548	0.917
801	253.15	0.09	1.548	1.58
802	263.15	0.09	1.548	2.405
803	273.15	0.09	1.548	3.282
804	283.15	0.09	1.548	4.217
805	293.15	0.09	1.548	5.729
806	303.15	0.09	1.548	7.143
807	313.15	0.09	1.548	9.848
808	323.15	0.09	1.548	11.287
809	333.15	0.09	1.548	13.269
810	243.15	0.09	1.548	0.968
811	253.15	0.09	1.548	1.728
812	263.15	0.09	1.548	2.754
813	273.15	0.09	1.548	3.947
814	283.15	0.09	1.548	5.349
815	293.15	0.09	1.548	6.913
816	303.15	0.09	1.548	8.518
817	313.15	0.09	1.548	9.693
818	323.15	0.09	1.548	11.822
819	333.15	0.09	1.548	13.918
820	243.15	0.179	1.544	0.964
821	253.15	0.179	1.544	1.728
822	263.15	0.179	1.544	2.722
823	273.15	0.179	1.544	3.875
824	283.15	0.179	1.544	5.215
825	293.15	0.179	1.544	5.929
826	303.15	0.179	1.544	8.215
827	313.15	0.179	1.544	9.999
828	323.15	0.179	1.544	11.766
829	333.15	0.179	1.544	13.489
830	243.15	0.255	1.515	0.979
831	253.15	0.255	1.515	1.682
832	263.15	0.255	1.515	2.655
833	273.15	0.255	1.515	3.796
834	283.15	0.255	1.515	5.153
835	293.15	0.255	1.515	6.674
836	303.15	0.255	1.515	8.332
837	313.15	0.255	1.515	10.104
838	323.15	0.255	1.515	11.986
839	333.15	0.255	1.515	14.079
840	243.15	0.255	1.515	0.945
841	253.15	0.255	1.515	1.662
842	263.15	0.255	1.515	2.607
843	273.15	0.255	1.515	3.689
844	283.15	0.255	1.515	4.954
845	293.15	0.255	1.515	6.362
846	303.15	0.255	1.515	7.834
847	313.15	0.255	1.515	9.313
848	323.15	0.255	1.515	11.196
849	333.15	0.255	1.515	13.169
850	243.15	0.255	1.515	1.01
851	253.15	0.255	1.515	1.767
852	263.15	0.255	1.515	2.743
853	273.15	0.255	1.515	3.836
854	283.15	0.255	1.515	5.075
855	293.15	0.255	1.515	6.426
856	303.15	0.255	1.515	7.768
857	313.15	0.255	1.515	9.182
858	323.15	0.255	1.515	10.624
859	333.15	0.255	1.515	11.931
860	243.15	0.098	0.835	1.513
861	253.15	0.098	0.835	2.307
862	263.15	0.098	0.835	3.198
863	273.15	0.098	0.835	4.167
864	283.15	0.098	0.835	5.518
865	293.15	0.098	0.835	6.8
866	303.15	0.098	0.835	8.025
867	313.15	0.098	0.835	9.364
868	323.15	0.098	0.835	10.816
869	333.15	0.098	0.835	12.252
870	243.15	0.098	0.835	1.661
871	253.15	0.098	0.835	2.546
872	263.15	0.098	0.835	3.578
873	273.15	0.098	0.835	4.683
874	283.15	0.098	0.835	5.968
875	293.15	0.098	0.835	7.32
876	303.15	0.098	0.835	8.718
877	313.15	0.098	0.835	10.235
878	323.15	0.098	0.835	11.884
879	333.15	0.098	0.835	13.157
880	243.15	0.098	0.835	1.712
881	253.15	0.098	0.835	2.682
882	263.15	0.098	0.835	3.843
883	273.15	0.098	0.835	5.092
884	283.15	0.098	0.835	6.558
885	293.15	0.098	0.835	8.071
886	303.15	0.098	0.835	9.391
887	313.15	0.098	0.835	10.68
888	323.15	0.098	0.835	12.199
889	333.15	0.098	0.835	14.235
890	243.15	0.198	0.855	1.595
891	253.15	0.198	0.855	2.433
892	263.15	0.198	0.855	3.434
893	273.15	0.198	0.855	4.497
894	283.15	0.198	0.855	5.727
895	293.15	0.198	0.855	6.783
896	303.15	0.198	0.855	8.235
897	313.15	0.198	0.855	9.122
898	323.15	0.198	0.855	9.703
899	333.15	0.198	0.855	12.709
900	243.15	0.198	0.855	1.686
901	253.15	0.198	0.855	2.576
902	263.15	0.198	0.855	3.626
903	273.15	0.198	0.855	4.742
904	283.15	0.198	0.855	6.027
905	293.15	0.198	0.855	7.334
906	303.15	0.198	0.855	8.698
907	313.15	0.198	0.855	10.109
908	323.15	0.198	0.855	11.601
909	333.15	0.198	0.855	13.083
910	243.15	0.198	0.855	1.671
911	253.15	0.198	0.855	2.549
912	263.15	0.198	0.855	3.578
913	273.15	0.198	0.855	4.674
914	283.15	0.198	0.855	5.898
915	293.15	0.198	0.855	7.218
916	303.15	0.198	0.855	8.589
917	313.15	0.198	0.855	10.028
918	323.15	0.198	0.855	11.753
919	333.15	0.198	0.855	13.797
920	243.15	0.198	0.855	1.666
921	253.15	0.198	0.855	2.553
922	263.15	0.198	0.855	3.586
923	273.15	0.198	0.855	4.687
924	283.15	0.198	0.855	5.907
925	293.15	0.198	0.855	7.182
926	303.15	0.198	0.855	8.772
927	313.15	0.198	0.855	10.269
928	323.15	0.198	0.855	11.842
929	333.15	0.198	0.855	13.258
930	243.15	0.302	0.856	1.633
931	253.15	0.302	0.856	2.499
932	263.15	0.302	0.856	3.504
933	273.15	0.302	0.856	4.563
934	283.15	0.302	0.856	5.545
935	293.15	0.302	0.856	7.23
936	303.15	0.302	0.856	8.737
937	313.15	0.302	0.856	10.15
938	323.15	0.302	0.856	11.292
939	333.15	0.302	0.856	13.464
940	243.15	0.302	0.856	1.616
941	253.15	0.302	0.856	2.47
942	263.15	0.302	0.856	3.467
943	273.15	0.302	0.856	4.525
944	283.15	0.302	0.856	5.756
945	293.15	0.302	0.856	7.086
946	303.15	0.302	0.856	8.316
947	313.15	0.302	0.856	9.901
948	323.15	0.302	0.856	11.359
949	333.15	0.302	0.856	12.817
950	243.15	0.302	0.856	1.6
951	253.15	0.302	0.856	2.449
952	263.15	0.302	0.856	3.436
953	273.15	0.302	0.856	4.463
954	283.15	0.302	0.856	5.653
955	293.15	0.302	0.856	6.937
956	303.15	0.302	0.856	8.252
957	313.15	0.302	0.856	9.775
958	323.15	0.302	0.856	12.54
959	333.15	0.302	0.856	12.98
960	243.15	0.302	0.856	1.484
961	253.15	0.302	0.856	2.285
962	263.15	0.302	0.856	3.227
963	273.15	0.302	0.856	4.213
964	283.15	0.302	0.856	5.811
965	293.15	0.302	0.856	8.125
966	303.15	0.302	0.856	10.647
967	313.15	0.302	0.856	12.638
968	323.15	0.302	0.856	12.192
969	333.15	0.302	0.856	13.337
970	243.15	0.408	0.854	1.584
971	253.15	0.408	0.854	2.398
972	263.15	0.408	0.854	3.474
973	273.15	0.408	0.854	4.546
974	283.15	0.408	0.854	5.788
975	293.15	0.408	0.854	7.121
976	303.15	0.408	0.854	8.753
977	313.15	0.408	0.854	10.135
978	323.15	0.408	0.854	11.723
979	333.15	0.408	0.854	13.291
980	243.15	0.408	0.854	1.615
981	253.15	0.408	0.854	2.475
982	263.15	0.408	0.854	3.484
983	273.15	0.408	0.854	4.542
984	283.15	0.408	0.854	5.747
985	293.15	0.408	0.854	7.04
986	303.15	0.408	0.854	8.404
987	313.15	0.408	0.854	10.211
988	323.15	0.408	0.854	11.867
989	333.15	0.408	0.854	13.581
990	243.15	0.408	0.854	1.644
991	253.15	0.408	0.854	2.545
992	263.15	0.408	0.854	3.582
993	273.15	0.408	0.854	4.667
994	283.15	0.408	0.854	6.073
995	293.15	0.408	0.854	7.331
996	303.15	0.408	0.854	8.845
997	313.15	0.408	0.854	10.437
998	323.15	0.408	0.854	12.133
999	333.15	0.408	0.854	13.713
1000	243.15	0.519	0.856	1.651
1001	253.15	0.519	0.856	2.518
1002	263.15	0.519	0.856	3.521
1003	273.15	0.519	0.856	4.61
1004	283.15	0.519	0.856	5.891
1005	293.15	0.519	0.856	7.177
1006	303.15	0.519	0.856	8.575
1007	313.15	0.519	0.856	10.038
1008	323.15	0.519	0.856	11.616
1009	333.15	0.519	0.856	13.352
1010	243.15	0.519	0.856	1.682
1011	253.15	0.519	0.856	2.605
1012	263.15	0.519	0.856	3.667
1013	273.15	0.519	0.856	4.781
1014	283.15	0.519	0.856	6.061
1015	293.15	0.519	0.856	7.448
1016	303.15	0.519	0.856	8.807
1017	313.15	0.519	0.856	10.292
1018	323.15	0.519	0.856	11.864
1019	333.15	0.519	0.856	13.16
1020	243.15	0.519	0.856	1.695
1021	253.15	0.519	0.856	2.579
1022	263.15	0.519	0.856	3.608
1023	273.15	0.519	0.856	4.695
1024	283.15	0.519	0.856	5.981
1025	293.15	0.519	0.856	7.367
1026	303.15	0.519	0.856	8.736
1027	313.15	0.519	0.856	10.143
1028	323.15	0.519	0.856	12.137
1029	333.15	0.519	0.856	13.763
1030	243.15	0.634	0.856	1.624
1031	253.15	0.634	0.856	2.426
1032	263.15	0.634	0.856	3.207
1033	273.15	0.634	0.856	4.079
1034	283.15	0.634	0.856	5.656
1035	293.15	0.634	0.856	6.936
1036	303.15	0.634	0.856	8.176
1037	313.15	0.634	0.856	8.484
1038	323.15	0.634	0.856	10.482
1039	333.15	0.634	0.856	10.819
1040	243.15	1.0	0.615	1.946
1041	253.15	1.0	0.615	2.704
1042	263.15	1.0	0.615	3.546
1043	273.15	1.0	0.615	4.428
1044	283.15	1.0	0.615	5.351
1045	293.15	1.0	0.615	6.307
1046	303.15	1.0	0.615	7.198
1047	313.15	1.0	0.615	8.427
1048	323.15	1.0	0.615	9.574
1049	333.15	1.0	0.615	10.918
1050	243.15	1.0	0.615	2.027
1051	253.15	1.0	0.615	2.859
1052	263.15	1.0	0.615	3.805
1053	273.15	1.0	0.615	4.803
1054	283.15	1.0	0.615	5.852
1055	293.15	1.0	0.615	6.97
1056	303.15	1.0	0.615	8.262
1057	313.15	1.0	0.615	9.438
1058	323.15	1.0	0.615	10.813
1059	333.15	1.0	0.615	12.233
1060	243.15	0.179	1.544	1.011
1061	253.15	0.179	1.544	1.769
1062	263.15	0.179	1.544	2.713
1063	273.15	0.179	1.544	3.752
1064	283.15	0.179	1.544	4.949
1065	293.15	0.179	1.544	6.325
1066	303.15	0.179	1.544	7.701
1067	313.15	0.179	1.544	8.794
1068	323.15	0.179	1.544	9.877
1069	333.15	0.179	1.544	11.147
1070	243.15	0.179	1.544	0.95
1071	253.15	0.179	1.544	1.674
1072	263.15	0.179	1.544	2.629
1073	273.15	0.179	1.544	3.747
1074	283.15	0.179	1.544	5.06
1075	293.15	0.179	1.544	6.513
1076	303.15	0.179	1.544	8.059
1077	313.15	0.179	1.544	9.711
1078	323.15	0.179	1.544	11.492
1079	333.15	0.179	1.544	13.204
1080	243.15	0.179	1.544	0.942
1081	253.15	0.179	1.544	1.659
1082	263.15	0.179	1.544	2.605
1083	273.15	0.179	1.544	3.699
1084	283.15	0.179	1.544	4.989
1085	293.15	0.179	1.544	6.458
1086	303.15	0.179	1.544	8.081
1087	313.15	0.179	1.544	9.798
1088	323.15	0.179	1.544	11.669
1089	333.15	0.179	1.544	13.622
1090	243.15	0.364	1.549	0.908
1091	253.15	0.364	1.549	1.627
1092	263.15	0.364	1.549	2.539
1093	273.15	0.364	1.549	3.561
1094	283.15	0.364	1.549	4.776
1095	293.15	0.364	1.549	6.134
1096	303.15	0.364	1.549	7.582
1097	313.15	0.364	1.549	9.146
1098	323.15	0.364	1.549	10.763
1099	333.15	0.364	1.549	12.879
1100	243.15	0.364	1.549	0.728
1101	253.15	0.364	1.549	1.301
1102	263.15	0.364	1.549	2.01
1103	273.15	0.364	1.549	2.786
1104	283.15	0.364	1.549	3.743
1105	293.15	0.364	1.549	4.768
1106	303.15	0.364	1.549	5.959
1107	313.15	0.364	1.549	7.314
1108	323.15	0.364	1.549	8.805
1109	333.15	0.364	1.549	10.579
1110	243.15	0.364	1.549	0.793
1111	253.15	0.364	1.549	1.422
1112	263.15	0.364	1.549	2.238
1113	273.15	0.364	1.549	3.136
1114	283.15	0.364	1.549	4.198
1115	293.15	0.364	1.549	5.446
1116	303.15	0.364	1.549	6.786
1117	313.15	0.364	1.549	8.308
1118	323.15	0.364	1.549	9.854
1119	333.15	0.364	1.549	11.464
1120	243.15	0.463	1.547	0.855
1121	253.15	0.463	1.547	1.516
1122	263.15	0.463	1.547	2.364
1123	273.15	0.463	1.547	3.307
1124	283.15	0.463	1.547	4.425
1125	293.15	0.463	1.547	5.678
1126	303.15	0.463	1.547	7.047
1127	313.15	0.463	1.547	8.585
1128	323.15	0.463	1.547	10.335
1129	333.15	0.463	1.547	12.504
1130	243.15	0.463	1.547	0.892
1131	253.15	0.463	1.547	1.59
1132	263.15	0.463	1.547	2.491
1133	273.15	0.463	1.547	3.499
1134	283.15	0.463	1.547	4.678
1135	293.15	0.463	1.547	6.025
1136	303.15	0.463	1.547	7.379
1137	313.15	0.463	1.547	9.107
1138	323.15	0.463	1.547	10.941
1139	333.15	0.463	1.547	13.188
1140	243.15	0.463	1.547	0.882
1141	253.15	0.463	1.547	1.606
1142	263.15	0.463	1.547	2.432
1143	273.15	0.463	1.547	3.39
1144	283.15	0.463	1.547	4.524
1145	293.15	0.463	1.547	5.808
1146	303.15	0.463	1.547	7.637
1147	313.15	0.463	1.547	9.1
1148	323.15	0.463	1.547	10.895
1149	333.15	0.463	1.547	11.975
1150	243.15	0.463	1.547	0.874
1151	253.15	0.463	1.547	1.57
1152	263.15	0.463	1.547	2.455
1153	273.15	0.463	1.547	3.454
1154	283.15	0.463	1.547	4.643
1155	293.15	0.463	1.547	6.021
1156	303.15	0.463	1.547	7.465
1157	313.15	0.463	1.547	9.061
1158	323.15	0.463	1.547	10.714
1159	333.15	0.463	1.547	12.509
1160	243.15	0.559	1.547	0.874
1161	253.15	0.559	1.547	1.56
1162	263.15	0.559	1.547	2.428
1163	273.15	0.559	1.547	3.402
1164	283.15	0.559	1.547	4.575
1165	293.15	0.559	1.547	5.902
1166	303.15	0.559	1.547	7.513
1167	313.15	0.559	1.547	8.864
1168	323.15	0.559	1.547	10.458
1169	333.15	0.559	1.547	12.185
1170	243.15	0.559	1.547	0.905
1171	253.15	0.559	1.547	1.614
1172	263.15	0.559	1.547	2.522
1173	273.15	0.559	1.547	3.53
1174	283.15	0.559	1.547	4.732
1175	293.15	0.559	1.547	6.102
1176	303.15	0.559	1.547	7.514
1177	313.15	0.559	1.547	9.133
1178	323.15	0.559	1.547	10.768
1179	333.15	0.559	1.547	12.445
1180	243.15	0.559	1.547	0.866
1181	253.15	0.559	1.547	1.552
1182	263.15	0.559	1.547	2.423
1183	273.15	0.559	1.547	3.391
1184	283.15	0.559	1.547	4.55
1185	293.15	0.559	1.547	5.861
1186	303.15	0.559	1.547	7.243
1187	313.15	0.559	1.547	8.733
1188	323.15	0.559	1.547	10.304
1189	333.15	0.559	1.547	11.978
1190	243.15	0.559	1.547	0.915
1191	253.15	0.559	1.547	1.642
1192	263.15	0.559	1.547	2.567
1193	273.15	0.559	1.547	3.618
1194	283.15	0.559	1.547	4.851
1195	293.15	0.559	1.547	6.236
1196	303.15	0.559	1.547	7.625
1197	313.15	0.559	1.547	9.097
1198	323.15	0.559	1.547	10.688
1199	333.15	0.559	1.547	12.334
1200	243.15	0.667	1.547	0.966
1201	253.15	0.667	1.547	1.714
1202	263.15	0.667	1.547	2.66
1203	273.15	0.667	1.547	3.723
1204	283.15	0.667	1.547	5.006
1205	293.15	0.667	1.547	6.393
1206	303.15	0.667	1.547	8.209
1207	313.15	0.667	1.547	9.714
1208	323.15	0.667	1.547	11.409
1209	333.15	0.667	1.547	12.96
1210	243.15	0.667	1.547	0.856
1211	253.15	0.667	1.547	1.386
1212	263.15	0.667	1.547	2.453
1213	273.15	0.667	1.547	3.517
1214	283.15	0.667	1.547	4.688
1215	293.15	0.667	1.547	5.996
1216	303.15	0.667	1.547	7.13
1217	313.15	0.667	1.547	8.533
1218	323.15	0.667	1.547	10.02
1219	333.15	0.667	1.547	11.502
1220	243.15	0.667	1.547	0.934
1221	253.15	0.667	1.547	1.647
1222	263.15	0.667	1.547	2.558
1223	273.15	0.667	1.547	3.563
1224	283.15	0.667	1.547	4.785
1225	293.15	0.667	1.547	6.164
1226	303.15	0.667	1.547	7.578
1227	313.15	0.667	1.547	9.046
1228	323.15	0.667	1.547	10.52
1229	333.15	0.667	1.547	12.114
1230	243.15	0.667	1.547	0.943
1231	253.15	0.667	1.547	1.662
1232	263.15	0.667	1.547	2.571
1233	273.15	0.667	1.547	3.588
1234	283.15	0.667	1.547	4.784
1235	293.15	0.667	1.547	6.126
1236	303.15	0.667	1.547	7.578
1237	313.15	0.667	1.547	9.142
1238	323.15	0.667	1.547	10.744
1239	333.15	0.667	1.547	12.407
1240	243.15	0.774	1.548	0.952
1241	253.15	0.774	1.548	1.672
1242	263.15	0.774	1.548	2.584
1243	273.15	0.774	1.548	3.603
1244	283.15	0.774	1.548	4.792
1245	293.15	0.774	1.548	6.115
1246	303.15	0.774	1.548	7.615
1247	313.15	0.774	1.548	9.122
1248	323.15	0.774	1.548	10.644
1249	333.15	0.774	1.548	11.999
1250	243.15	0.774	1.548	0.97
1251	253.15	0.774	1.548	1.696
1252	263.15	0.774	1.548	2.618
1253	273.15	0.774	1.548	3.647
1254	283.15	0.774	1.548	4.869
1255	293.15	0.774	1.548	6.231
1256	303.15	0.774	1.548	7.67
1257	313.15	0.774	1.548	9.16
1258	323.15	0.774	1.548	10.569
1259	333.15	0.774	1.548	12.17
1260	243.15	0.774	1.548	0.96
1261	253.15	0.774	1.548	1.678
1262	263.15	0.774	1.548	2.597
1263	273.15	0.774	1.548	3.509
1264	283.15	0.774	1.548	4.823
1265	293.15	0.774	1.548	6.161
1266	303.15	0.774	1.548	7.571
1267	313.15	0.774	1.548	8.932
1268	323.15	0.774	1.548	9.953
1269	333.15	0.774	1.548	12.164
1270	243.15	0.871	1.543	0.946
1271	253.15	0.871	1.543	1.654
1272	263.15	0.871	1.543	2.62
1273	273.15	0.871	1.543	3.575
1274	283.15	0.871	1.543	4.875
1275	293.15	0.871	1.543	5.823
1276	303.15	0.871	1.543	7.812
1277	313.15	0.871	1.543	9.386
1278	323.15	0.871	1.543	10.823
1279	333.15	0.871	1.543	12.032
1280	243.15	1.0	1.55	0.976
1281	253.15	1.0	1.55	1.671
1282	263.15	1.0	1.55	2.553
1283	273.15	1.0	1.55	3.536
1284	283.15	1.0	1.55	4.68
1285	293.15	1.0	1.55	5.969
1286	303.15	1.0	1.55	7.396
1287	313.15	1.0	1.55	9.053
1288	323.15	1.0	1.55	10.826
1289	333.15	1.0	1.55	12.552
1290	243.15	1.0	1.55	1.009
1291	253.15	1.0	1.55	1.728
1292	263.15	1.0	1.55	2.643
1293	273.15	1.0	1.55	3.669
1294	283.15	1.0	1.55	4.858
1295	293.15	1.0	1.55	6.193
1296	303.15	1.0	1.55	7.57
1297	313.15	1.0	1.55	9.058
1298	323.15	1.0	1.55	10.259
1299	333.15	1.0	1.55	12.287
1300	243.15	1.0	1.55	1.032
1301	253.15	1.0	1.55	1.779
1302	263.15	1.0	1.55	2.732
1303	273.15	1.0	1.55	3.804
1304	283.15	1.0	1.55	5.063
1305	293.15	1.0	1.55	6.442
1306	303.15	1.0	1.55	7.833
1307	313.15	1.0	1.55	9.295
1308	323.15	1.0	1.55	10.866
1309	333.15	1.0	1.55	12.377
1310	243.15	1.0	1.55	1.005
1311	253.15	1.0	1.55	1.72
1312	263.15	1.0	1.55	2.627
1313	273.15	1.0	1.55	3.637
1314	283.15	1.0	1.55	4.823
1315	293.15	1.0	1.55	6.154
1316	303.15	1.0	1.55	7.547
1317	313.15	1.0	1.55	9.059
1318	323.15	1.0	1.55	10.615
1319	333.15	1.0	1.55	12.17
1320	243.15	0.178	0.591	1.803
1321	253.15	0.178	0.591	2.692
1322	263.15	0.178	0.591	3.749
1323	273.15	0.178	0.591	4.85
1324	283.15	0.178	0.591	6.042
1325	293.15	0.178	0.591	7.412
1326	303.15	0.178	0.591	8.864
1327	313.15	0.178	0.591	10.395
1328	323.15	0.178	0.591	12.042
1329	333.15	0.178	0.591	13.642
1330	243.15	0.178	0.591	1.816
1331	253.15	0.178	0.591	2.705
1332	263.15	0.178	0.591	3.755
1333	273.15	0.178	0.591	4.866
1334	283.15	0.178	0.591	6.115
1335	293.15	0.178	0.591	7.489
1336	303.15	0.178	0.591	8.891
1337	313.15	0.178	0.591	10.366
1338	323.15	0.178	0.591	11.942
1339	333.15	0.178	0.591	13.479
1340	243.15	0.178	0.591	1.797
1341	253.15	0.178	0.591	2.694
1342	263.15	0.178	0.591	3.761
1343	273.15	0.178	0.591	4.986
1344	283.15	0.178	0.591	6.149
1345	293.15	0.178	0.591	7.479
1346	303.15	0.178	0.591	8.791
1347	313.15	0.178	0.591	10.179
1348	323.15	0.178	0.591	11.703
1349	333.15	0.178	0.591	13.263
1350	243.15	0.178	0.591	1.81
1351	253.15	0.178	0.591	2.696
1352	263.15	0.178	0.591	3.748
1353	273.15	0.178	0.591	4.868
1354	283.15	0.178	0.591	6.086
1355	293.15	0.178	0.591	7.452
1356	303.15	0.178	0.591	8.874
1357	313.15	0.178	0.591	10.351
1358	323.15	0.178	0.591	11.99
1359	333.15	0.178	0.591	13.427
1360	243.15	0.365	0.591	1.795
1361	253.15	0.365	0.591	2.682
1362	263.15	0.365	0.591	3.727
1363	273.15	0.365	0.591	4.861
1364	283.15	0.365	0.591	6.137
1365	293.15	0.365	0.591	7.527
1366	303.15	0.365	0.591	8.966
1367	313.15	0.365	0.591	10.441
1368	323.15	0.365	0.591	11.962
1369	333.15	0.365	0.591	13.394
1370	243.15	0.365	0.591	1.767
1371	253.15	0.365	0.591	2.632
1372	263.15	0.365	0.591	3.652
1373	273.15	0.365	0.591	4.754
1374	283.15	0.365	0.591	5.994
1375	293.15	0.365	0.591	7.342
1376	303.15	0.365	0.591	8.719
1377	313.15	0.365	0.591	10.154
1378	323.15	0.365	0.591	11.688
1379	333.15	0.365	0.591	13.269
1380	243.15	0.365	0.591	1.772
1381	253.15	0.365	0.591	2.641
1382	263.15	0.365	0.591	3.663
1383	273.15	0.365	0.591	4.761
1384	283.15	0.365	0.591	5.996
1385	293.15	0.365	0.591	7.354
1386	303.15	0.365	0.591	8.746
1387	313.15	0.365	0.591	10.18
1388	323.15	0.365	0.591	11.733
1389	333.15	0.365	0.591	13.312
1390	243.15	0.365	0.591	1.797
1391	253.15	0.365	0.591	2.687
1392	263.15	0.365	0.591	3.743
1393	273.15	0.365	0.591	4.88
1394	283.15	0.365	0.591	6.128
1395	293.15	0.365	0.591	7.465
1396	303.15	0.365	0.591	8.85
1397	313.15	0.365	0.591	10.377
1398	323.15	0.365	0.591	11.812
1399	333.15	0.365	0.591	13.297
1400	243.15	0.564	0.59	1.777
1401	253.15	0.564	0.59	2.631
1402	263.15	0.564	0.59	3.63
1403	273.15	0.564	0.59	4.687
1404	283.15	0.564	0.59	5.881
1405	293.15	0.564	0.59	7.212
1406	303.15	0.564	0.59	8.531
1407	313.15	0.564	0.59	9.997
1408	323.15	0.564	0.59	11.387
1409	333.15	0.564	0.59	12.731
1410	243.15	0.564	0.59	1.633
1411	253.15	0.564	0.59	2.441
1412	263.15	0.564	0.59	3.411
1413	273.15	0.564	0.59	4.474
1414	283.15	0.564	0.59	5.675
1415	293.15	0.564	0.59	7.056
1416	303.15	0.564	0.59	8.498
1417	313.15	0.564	0.59	9.943
1418	323.15	0.564	0.59	11.353
1419	333.15	0.564	0.59	12.653
1420	243.15	0.564	0.59	1.781
1421	253.15	0.564	0.59	2.636
1422	263.15	0.564	0.59	3.634
1423	273.15	0.564	0.59	4.701
1424	283.15	0.564	0.59	5.905
1425	293.15	0.564	0.59	7.231
1426	303.15	0.564	0.59	8.586
1427	313.15	0.564	0.59	9.991
1428	323.15	0.564	0.59	11.474
1429	333.15	0.564	0.59	12.926
1430	243.15	0.564	0.59	1.822
1431	253.15	0.564	0.59	2.713
1432	263.15	0.564	0.59	3.756
1433	273.15	0.564	0.59	4.88
1434	283.15	0.564	0.59	6.128
1435	293.15	0.564	0.59	7.478
1436	303.15	0.564	0.59	8.877
1437	313.15	0.564	0.59	10.295
1438	323.15	0.564	0.59	11.598
1439	333.15	0.564	0.59	12.747
1440	243.15	0.776	0.593	1.756
1441	253.15	0.776	0.593	2.502
1442	263.15	0.776	0.593	3.387
1443	273.15	0.776	0.593	4.602
1444	283.15	0.776	0.593	5.94
1445	293.15	0.776	0.593	7.241
1446	303.15	0.776	0.593	8.586
1447	313.15	0.776	0.593	9.959
1448	323.15	0.776	0.593	11.344
1449	333.15	0.776	0.593	12.876
1450	243.15	0.776	0.593	1.767
1451	253.15	0.776	0.593	2.6
1452	263.15	0.776	0.593	3.566
1453	273.15	0.776	0.593	4.61
1454	283.15	0.776	0.593	5.763
1455	293.15	0.776	0.593	7.026
1456	303.15	0.776	0.593	8.497
1457	313.15	0.776	0.593	9.892
1458	323.15	0.776	0.593	11.537
1459	333.15	0.776	0.593	13.166
1460	243.15	0.776	0.593	1.795
1461	253.15	0.776	0.593	2.623
1462	263.15	0.776	0.593	3.583
1463	273.15	0.776	0.593	4.602
1464	283.15	0.776	0.593	5.732
1465	293.15	0.776	0.593	6.935
1466	303.15	0.776	0.593	8.129
1467	313.15	0.776	0.593	10.192
1468	323.15	0.776	0.593	11.55
1469	333.15	0.776	0.593	13.119
1470	243.15	0.776	0.593	1.777
1471	253.15	0.776	0.593	2.626
1472	263.15	0.776	0.593	3.603
1473	273.15	0.776	0.593	4.628
1474	283.15	0.776	0.593	5.78
1475	293.15	0.776	0.593	7.164
1476	303.15	0.776	0.593	8.096
1477	313.15	0.776	0.593	9.152
1478	323.15	0.776	0.593	10.746
1479	333.15	0.776	0.593	12.317
1480	243.15	1.0	0.593	1.776
1481	253.15	1.0	0.593	2.593
1482	263.15	1.0	0.593	3.55
1483	273.15	1.0	0.593	4.58
1484	283.15	1.0	0.593	5.744
1485	293.15	1.0	0.593	6.967
1486	303.15	1.0	0.593	8.322
1487	313.15	1.0	0.593	9.677
1488	323.15	1.0	0.593	11.072
1489	333.15	1.0	0.593	12.442
1490	243.15	1.0	0.593	1.815
1491	253.15	1.0	0.593	2.658
1492	263.15	1.0	0.593	3.634
1493	273.15	1.0	0.593	4.681
1494	283.15	1.0	0.593	5.835
1495	293.15	1.0	0.593	7.115
1496	303.15	1.0	0.593	8.414
1497	313.15	1.0	0.593	9.754
1498	323.15	1.0	0.593	11.22
1499	333.15	1.0	0.593	12.642
1500	243.15	0.175	1.048	1.279
1501	253.15	0.175	1.048	2.133
1502	263.15	0.175	1.048	3.219
