	T [K]	r	c [mol/kg]	k [mS/cm]
176	303.15	0.367	1.493	7.687
177	313.15	0.367	1.493	9.576
178	323.15	0.367	1.493	11.881
179	333.15	0.367	1.493	13.998
180	243.15	0.367	1.493	0.569
181	253.15	0.367	1.493	1.165
182	263.15	0.367	1.493	2.015
183	273.15	0.367	1.493	3.043
184	283.15	0.367	1.493	4.374
185	293.15	0.367	1.493	5.939
186	303.15	0.367	1.493	7.733
187	313.15	0.367	1.493	9.318
188	323.15	0.367	1.493	11.547
189	333.15	0.367	1.493	14.012
190	243.15	0.564	1.49	0.599
191	253.15	0.564	1.49	1.196
192	263.15	0.564	1.49	1.992
193	273.15	0.564	1.49	2.956
194	283.15	0.564	1.49	4.191
195	293.15	0.564	1.49	5.705
196	303.15	0.564	1.49	7.334
197	313.15	0.564	1.49	9.059
198	323.15	0.564	1.49	10.78
199	333.15	0.564	1.49	12.764
200	243.15	0.564	1.49	0.61
201	253.15	0.564	1.49	1.216
202	263.15	0.564	1.49	2.071
203	273.15	0.564	1.49	3.085
204	283.15	0.564	1.49	4.326
205	293.15	0.564	1.49	5.9
206	303.15	0.564	1.49	7.611
207	313.15	0.564	1.49	9.398
208	323.15	0.564	1.49	11.28
209	333.15	0.564	1.49	13.347
210	243.15	0.776	1.493	0.612
211	253.15	0.776	1.493	1.656
212	263.15	0.776	1.493	2.028
213	273.15	0.776	1.493	3.005
214	283.15	0.776	1.493	4.221
215	293.15	0.776	1.493	5.631
216	303.15	0.776	1.493	7.163
217	313.15	0.776	1.493	8.843
218	323.15	0.776	1.493	10.648
219	333.15	0.776	1.493	12.607
220	243.15	0.776	1.493	0.495
221	253.15	0.776	1.493	0.976
222	263.15	0.776	1.493	1.626
223	273.15	0.776	1.493	2.381
224	283.15	0.776	1.493	3.334
225	293.15	0.776	1.493	4.468
226	303.15	0.776	1.493	5.649
227	313.15	0.776	1.493	6.938
228	323.15	0.776	1.493	9.837
229	333.15	0.776	1.493	9.968
230	243.15	0.776	1.493	0.529
231	253.15	0.776	1.493	1.053
232	263.15	0.776	1.493	1.777
233	273.15	0.776	1.493	2.611
234	283.15	0.776	1.493	3.656
235	293.15	0.776	1.493	4.924
236	303.15	0.776	1.493	6.312
237	313.15	0.776	1.493	7.853
238	323.15	0.776	1.493	9.45
239	333.15	0.776	1.493	11.205
240	243.15	1.0	1.495	0.611
241	253.15	1.0	1.495	1.184
242	263.15	1.0	1.495	1.967
243	273.15	1.0	1.495	2.879
244	283.15	1.0	1.495	4.01
245	293.15	1.0	1.495	5.311
246	303.15	1.0	1.495	6.74
247	313.15	1.0	1.495	8.337
248	323.15	1.0	1.495	10.069
249	333.15	1.0	1.495	12.087
250	243.15	1.0	1.495	0.612
251	253.15	1.0	1.495	1.208
252	263.15	1.0	1.495	2.029
253	273.15	1.0	1.495	2.981
254	283.15	1.0	1.495	4.168
255	293.15	1.0	1.495	5.537
256	303.15	1.0	1.495	7.048
257	313.15	1.0	1.495	8.728
258	323.15	1.0	1.495	10.332
259	333.15	1.0	1.495	12.714
260	243.15	1.0	1.495	0.632
261	253.15	1.0	1.495	1.192
262	263.15	1.0	1.495	1.973
263	273.15	1.0	1.495	2.876
264	283.15	1.0	1.495	3.998
265	293.15	1.0	1.495	5.311
266	303.15	1.0	1.495	6.751
267	313.15	1.0	1.495	8.243
268	323.15	1.0	1.495	9.766
269	333.15	1.0	1.495	11.568
270	243.15	1.0	1.495	0.606
271	253.15	1.0	1.495	1.189
272	263.15	1.0	1.495	1.98
273	273.15	1.0	1.495	2.92
274	283.15	1.0	1.495	4.08
275	293.15	1.0	1.495	5.422
276	303.15	1.0	1.495	6.879
277	313.15	1.0	1.495	8.471
278	323.15	1.0	1.495	10.14
279	333.15	1.0	1.495	11.904
280	243.15	0.098	0.984	1.741
281	253.15	0.098	0.984	2.657
282	263.15	0.098	0.984	3.725
283	273.15	0.098	0.984	4.856
284	283.15	0.098	0.984	5.954
285	293.15	0.098	0.984	7.803
286	303.15	0.098	0.984	9.324
287	313.15	0.098	0.984	10.816
288	323.15	0.098	0.984	11.964
289	333.15	0.098	0.984	14.271
290	243.15	0.198	0.983	1.911
291	253.15	0.198	0.983	2.933
292	263.15	0.198	0.983	4.103
293	273.15	0.198	0.983	5.341
294	283.15	0.198	0.983	6.745
295	293.15	0.198	0.983	8.134
296	303.15	0.198	0.983	9.57
297	313.15	0.198	0.983	11.297
298	323.15	0.198	0.983	13.469
299	333.15	0.198	0.983	13.498
300	243.15	0.198	0.983	1.742
301	253.15	0.198	0.983	2.667
302	263.15	0.198	0.983	3.718
303	273.15	0.198	0.983	4.422
304	283.15	0.198	0.983	4.914
305	293.15	0.198	0.983	5.811
306	303.15	0.198	0.983	6.605
307	313.15	0.198	0.983	7.354
308	323.15	0.198	0.983	8.11
309	333.15	0.198	0.983	8.907
310	243.15	0.302	0.989	1.757
311	253.15	0.302	0.989	2.692
312	263.15	0.302	0.989	3.768
313	273.15	0.302	0.989	4.918
314	283.15	0.302	0.989	6.126
315	293.15	0.302	0.989	7.752
316	303.15	0.302	0.989	9.235
317	313.15	0.302	0.989	10.395
318	323.15	0.302	0.989	12.641
319	333.15	0.302	0.989	14.356
320	243.15	0.302	0.989	1.654
321	253.15	0.302	0.989	2.54
322	263.15	0.302	0.989	3.558
323	273.15	0.302	0.989	4.661
324	283.15	0.302	0.989	5.937
325	293.15	0.302	0.989	7.286
326	303.15	0.302	0.989	8.572
327	313.15	0.302	0.989	10.165
328	323.15	0.302	0.989	11.207
329	333.15	0.302	0.989	12.028
330	243.15	0.408	0.992	1.579
331	253.15	0.408	0.992	2.343
332	263.15	0.408	0.992	3.203
333	273.15	0.408	0.992	4.569
334	283.15	0.408	0.992	5.751
335	293.15	0.408	0.992	7.056
336	303.15	0.408	0.992	8.327
337	313.15	0.408	0.992	9.912
338	323.15	0.408	0.992	11.829
339	333.15	0.408	0.992	13.51
340	243.15	0.518	0.991	1.621
341	253.15	0.518	0.991	1.909
342	263.15	0.518	0.991	2.395
343	273.15	0.518	0.991	2.843
344	283.15	0.518	0.991	5.494
345	293.15	0.518	0.991	6.096
346	303.15	0.518	0.991	8.368
347	313.15	0.518	0.991	10.504
348	323.15	0.518	0.991	12.734
349	333.15	0.518	0.991	14.76
350	243.15	0.752	0.999	1.685
351	253.15	0.752	0.999	2.562
352	263.15	0.752	0.999	3.56
353	273.15	0.752	0.999	4.569
354	283.15	0.752	0.999	5.795
355	293.15	0.752	0.999	6.817
356	303.15	0.752	0.999	8.263
357	313.15	0.752	0.999	9.823
358	323.15	0.752	0.999	11.567
359	333.15	0.752	0.999	13.58
360	243.15	0.752	0.999	1.72
361	253.15	0.752	0.999	2.635
362	263.15	0.752	0.999	3.689
363	273.15	0.752	0.999	4.809
364	283.15	0.752	0.999	6.059
365	293.15	0.752	0.999	7.397
366	303.15	0.752	0.999	8.714
367	313.15	0.752	0.999	10.064
368	323.15	0.752	0.999	11.77
369	333.15	0.752	0.999	13.471
370	243.15	0.752	0.999	1.662
371	253.15	0.752	0.999	2.454
372	263.15	0.752	0.999	3.335
373	273.15	0.752	0.999	4.29
374	283.15	0.752	0.999	5.387
375	293.15	0.752	0.999	6.541
376	303.15	0.752	0.999	7.769
377	313.15	0.752	0.999	9.108
378	323.15	0.752	0.999	10.745
379	333.15	0.752	0.999	13.057
380	243.15	0.752	0.999	1.635
381	253.15	0.752	0.999	2.492
382	263.15	0.752	0.999	3.484
383	273.15	0.752	0.999	4.521
384	283.15	0.752	0.999	5.647
385	293.15	0.752	0.999	6.913
386	303.15	0.752	0.999	8.274
387	313.15	0.752	0.999	9.498
388	323.15	0.752	0.999	11.274
389	333.15	0.752	0.999	12.984
390	243.15	0.874	1.009	1.676
391	253.15	0.874	1.009	2.518
392	263.15	0.874	1.009	3.5
393	273.15	0.874	1.009	4.523
394	283.15	0.874	1.009	5.641
395	293.15	0.874	1.009	6.905
396	303.15	0.874	1.009	8.096
397	313.15	0.874	1.009	9.528
398	323.15	0.874	1.009	11.221
399	333.15	0.874	1.009	13.393
400	243.15	0.874	1.009	1.736
401	253.15	0.874	1.009	2.648
402	263.15	0.874	1.009	3.712
403	273.15	0.874	1.009	4.783
404	283.15	0.874	1.009	5.972
405	293.15	0.874	1.009	7.271
406	303.15	0.874	1.009	8.556
407	313.15	0.874	1.009	10.064
408	323.15	0.874	1.009	11.721
409	333.15	0.874	1.009	13.726
410	243.15	0.874	1.009	1.659
411	253.15	0.874	1.009	2.511
412	263.15	0.874	1.009	3.665
413	273.15	0.874	1.009	4.993
414	283.15	0.874	1.009	5.593
415	293.15	0.874	1.009	6.886
416	303.15	0.874	1.009	8.15
417	313.15	0.874	1.009	9.509
418	323.15	0.874	1.009	12.521
419	333.15	0.874	1.009	13.64
420	243.15	0.874	1.009	1.662
